date,temperature
2011-01,35.87
2011-02,46.57
2011-03,61.13
2011-04,130.27
2011-05,140.16
2011-06,161.07
2011-07,159
2011-08,167.68
2011-09,158.83
2011-10,118.58
2011-11,76.63
2011-12,66.16
2012-01,49.03
2012-02,10.66
2012-03,80.26
2012-04,82.87
2012-05,141.13
2012-06,148.47
2012-07,172.81
2012-08,184.87
2012-09,144.77
2012-10,107.48
2012-11,68.67
2012-12,51.32
2013-01,21.16
2013-02,18.18
2013-03,25.13
2013-04,79.07
2013-05,113.13
2013-06,149.53
2013-07,191.71
2013-08,184.74
2013-09,148.13
2013-10,122.68
2013-11,71.1
2013-12,60.35
2014-01,55.84
2014-02,62.96
2014-03,84.35
2014-04,118.57
2014-05,135.23
2014-06,159.73
2014-07,196.32
2014-08,163.55
2014-09,165.07
2014-10,134.61
2014-11,82.5
2014-12,53.61
2015-01,41.42
2015-02,36.64
2015-03,61.87
2015-04,87.8
2015-05,121.71
2015-06,154.4
2015-07,182.55
2015-08,185.23
2015-09,137.47
2015-10,105.35
2015-11,101
2015-12,95.65
